technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,Claude Classification,Claude Reasoning,Claude Network_Artifact,Gork Classification,Grok Reasoning,Gork Network Artifact,GPT Classification,GPT Reasoning,GPT Network Artifact,Gemini Classification,Gemini Reasoning,Gemini Network Artifact
T1140,Deobfuscate/Decode Files or Information,Adversaries may use [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027) to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include buil...,defense-evasion,"ESXi, Linux, macOS, Windows",10,4,6,High-Priority,96,"APT38, Bankshot, Dyre, Lazarus Group, Malteiro, QakBot, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Lazarus Group, Malteiro, TA505","Bankshot, Dyre, QakBot, TrickBot, Ursnif, Zeus Panda",NO,Local file decoding has no network footprint,None,NO,Local file decoding no network traffic,None,NO,Decodes local files; no network traffic,None,NO,Local file operation performed in memory or disk,None
T1070.004,File Deletion,"Adversaries may delete files left behind by the actions of their intrusion activity. Malware, tools, or other non-native files dropped or created on a system by an adversary (ex: [Ingress Tool Transfer](https://attack.mitre.org/techniques/T1105)) may leave traces to indicate to what was done within ...",defense-evasion,"ESXi, Linux, macOS, Windows",9,4,5,High-Priority,96,"APT38, Bankshot, Carbanak, Cobalt Group, Lazarus Group, QakBot, Silence, Ursnif, Zeus Panda","APT38, Cobalt Group, Lazarus Group, Silence","Bankshot, Carbanak, QakBot, Ursnif, Zeus Panda",NO,Local file deletion generates no network traffic,None,NO,Local file deletion no network traffic,None,NO,Deletes files; no network footprint,None,NO,Local file system operation generates no network packets,None
T1027.013,Encrypted/Encoded File,"Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection. Encrypting and/or encoding file content aims to conceal malicious artifacts within a file used in an intrusion. Many other techniques, such as [Software Packing](https://attack.mitre...",defense-evasion,"Linux, macOS, Windows",8,3,5,High-Priority,92,"Carberp, IcedID, Lazarus Group, Malteiro, TA505, TrickBot, Ursnif, Zeus Panda","Lazarus Group, Malteiro, TA505","Carberp, IcedID, TrickBot, Ursnif, Zeus Panda",NO,File encoding occurs locally without network activity,None,NO,Local file encoding no network traffic,None,NO,Encrypts/encodes files locally,None,NO,Local file modification invisible to network sensors,None
T1036.005,Match Legitimate Resource Name or Location,"Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them. This is done for the sake of evading defenses and observation. 

This may be done by placing an executable in a commonly trusted directory (ex: under System32) o...",defense-evasion,"Containers, ESXi, Linux, macOS, Windows",7,4,3,High-Priority,91,"Carbanak, Carberp, IcedID, Indrik Spider, Lazarus Group, Silence, Ursnif","Carbanak, Indrik Spider, Lazarus Group, Silence","Carberp, IcedID, Ursnif",NO,Local file/path masquerading has no network component,None,NO,Local masquerading no network traffic,None,NO,Matches legitimate names to evade detection,None,NO,Local file metadata modification has no network footprint,None
T1562.001,Disable or Modify Tools,"Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities. This may take many forms, such as killing security software processes or services, modifying / deleting Registry keys or configuration files so that tools do not operate properly, ...",defense-evasion,"Containers, IaaS, Linux, macOS, Network Devices, Windows",7,4,3,High-Priority,91,"APT38, Carberp, Indrik Spider, Lazarus Group, QakBot, TA505, TrickBot","APT38, Indrik Spider, Lazarus Group, TA505","Carberp, QakBot, TrickBot",NO,Disabling local security tools generates no network traffic,None,NO,Local tool disabling no network traffic,None,NO,Disables tools locally without network,None,NO,Local process termination or registry modification is invisible,None
T1218.011,Rundll32,"Adversaries may abuse rundll32.exe to proxy execution of malicious code. Using rundll32.exe, vice executing directly (i.e. [Shared Modules](https://attack.mitre.org/techniques/T1129)), may avoid triggering security tools that may not monitor execution of the rundll32.exe process because of allowlist...",defense-evasion,Windows,6,4,2,High-Priority,86,"APT38, Carbanak, IcedID, Lazarus Group, QakBot, TA505","APT38, Carbanak, Lazarus Group, TA505","IcedID, QakBot",NO,Rundll32 execution is local process activity,None,NO,Local execution proxy no network traffic,None,NO,Runs DLL via rundll32 locally,None,PARTIAL,Detectable only if used to load remote payloads,"HTTP GET requests, malicious domains"
T1027.010,Command Obfuscation,Adversaries may obfuscate content during command execution to impede detection. Command-line obfuscation is a method of making strings and patterns within commands and scripts more difficult to signature and analyze. This type of obfuscation can be included within commands executed by delivered payl...,defense-evasion,"Linux, macOS, Windows",6,3,3,High-Priority,82,"Cobalt Group, QakBot, Silence, TA505, Ursnif, Zeus Panda","Cobalt Group, Silence, TA505","QakBot, Ursnif, Zeus Panda",NO,Command obfuscation occurs in local execution context,None,NO,Local command obfuscation no network traffic,None,NO,Obfuscates command strings locally,None,NO,Local command execution obfuscation is invisible on wire,None
T1112,Modify Registry,"Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution.

Access to specific areas of the Registry depends on account permissions, with some keys requiring administrator-level access. The built-in Windows comma...","defense-evasion, persistence",Windows,9,4,5,High-Priority,81.2,"APT38, Bankshot, Indrik Spider, QakBot, Silence, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Indrik Spider, Silence, TA505","Bankshot, QakBot, TrickBot, Ursnif, Zeus Panda",NO,Registry modification is local host operation,None,NO,Local registry modification no network traffic,None,NO,Modifies registry values on host,None,NO,Local registry interactions generate no network traffic,None
T1027.002,Software Packing,Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable. Packing an executable changes the file signature in an attempt to avoid signature-based detection. Most decompression techni...,defense-evasion,"Linux, macOS, Windows",6,2,4,High-Priority,78,"APT38, Dyre, IcedID, QakBot, TA505, TrickBot","APT38, TA505","Dyre, IcedID, QakBot, TrickBot",NO,Software packing is static file modification,None,NO,Local software packing no network traffic,None,NO,Packs software to avoid analysis,None,PARTIAL,Detectable only during initial file transfer via entropy,High entropy file transfer
T1553.002,Code Signing,"Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with. (Citation: Wikipedia Code Signing) The certificates used during an...",defense-evasion,"macOS, Windows",5,3,2,Common,77,"Lazarus Group, QakBot, Silence, TA505, TrickBot","Lazarus Group, Silence, TA505","QakBot, TrickBot",NO,Code signing verification is local host operation,None,NO,Local code signing no network traffic,None,NO,Signs code locally; no network,None,NO,Local certificate handling generates no observable traffic,None
T1105,Ingress Tool Transfer,Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as [ftp](https://attack.mi...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",15,7,8,High-Priority,75.4,"APT38, Andariel, Bankshot, Carberp, Cobalt Group, Dyre, IcedID, Indrik Spider, Lazarus Group, QakBot, Silence, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Andariel, Cobalt Group, Indrik Spider, Lazarus Group, Silence, TA505","Bankshot, Carberp, Dyre, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda",PARTIAL,File transfer visible but payload often encrypted over HTTPS,"Flow volume spikes, unusual destinations, timing patterns",PARTIAL,Tool transfers visible but often encrypted,"Flow volumes, endpoints",YES,Downloads tools over network,"File download flows, unusual endpoints",YES,File downloads visible via flow or protocol analysis,"File transfer headers, malware signatures"
T1543.003,Windows Service,"Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up, it starts programs or applications called services that perform background system functions.(Citation: TechNet Services) Windows service configuration information...","persistence, privilege-escalation",Windows,10,5,5,High-Priority,72,"APT38, Bankshot, Carbanak, Cobalt Group, DarkVishnya, Dyre, Lazarus Group, QakBot, TrickBot, Ursnif","APT38, Carbanak, Cobalt Group, DarkVishnya, Lazarus Group","Bankshot, Dyre, QakBot, TrickBot, Ursnif",NO,Windows service creation is local registry/SCM operation,None,NO,Local service creation no network traffic,None,NO,Creates/modifies Windows services locally,None,NO,Local service creation generates no network traffic,None
T1071.001,Web Protocols,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",14,4,10,High-Priority,71.4,"APT38, Bankshot, Carbanak, Carberp, Cobalt Group, Dridex, Dyre, IcedID, Lazarus Group, QakBot, TA505, TrickBot, Ursnif, Zeus Panda","APT38, Cobalt Group, Lazarus Group, TA505","Bankshot, Carbanak, Carberp, Dridex, Dyre, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda",YES,HTTP C2 beacons detectable via headers and timing patterns,"JA3 fingerprints, URI anomalies, beacon intervals, User-Agent",YES,C2 over web detectable via patterns,"JA3 fingerprints, beacon intervals",YES,Uses HTTP/S for C2 detectable via traffic analysis,"HTTP headers anomalies, beacon intervals",YES,C2 beacons detectable via headers and timing patterns,"JA3 fingerprints, URI anomalies, beacon intervals"
T1057,Process Discovery,Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Administrator or otherwise elevated access may provide better process details. Adversarie...,discovery,"ESXi, Linux, macOS, Network Devices, Windows",10,3,7,High-Priority,71.4,"APT38, Andariel, Bankshot, Carbanak, Carberp, Lazarus Group, QakBot, TrickBot, Ursnif, Zeus Panda","APT38, Andariel, Lazarus Group","Bankshot, Carbanak, Carberp, QakBot, TrickBot, Ursnif, Zeus Panda",NO,Process discovery queries local system APIs,None,NO,Local process discovery no network traffic,None,NO,Enumerates running processes locally,None,NO,Local process enumeration has no network component,None
T1082,System Information Discovery,"An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Adversaries may use this information to shape follow-on behaviors, including whether or not the adversary fully infects the target and/...",discovery,"ESXi, IaaS, Linux, macOS, Network Devices, Windows",12,3,9,High-Priority,71.4,"APT38, Bankshot, Carberp, Dridex, Dyre, IcedID, Lazarus Group, Malteiro, QakBot, TrickBot, Ursnif, Zeus Panda","APT38, Lazarus Group, Malteiro","Bankshot, Carberp, Dridex, Dyre, IcedID, QakBot, TrickBot, Ursnif, Zeus Panda",NO,System info discovery queries local OS APIs,None,NO,Local system info no network traffic,None,NO,Gathers system info locally,None,NO,Local system queries generate no network traffic,None
